ID_Estudiante;Nombres;Apellidos;Carrera;Facultad;Edad;Genero;Promedio_Acumulado;Asistencia_Promedio;Modalidad_Estudio;Beca;Horas_Trabajo_Semanal;Apoyo_Familiar;Actividad_Extracurricular;Satisfaccion_Programa;Estado_Mental;Creditos_Inscritos;Ha_Desertado;Razon_Desercion;Riesgo_Desercion_2025;Probabilidad_Desercion_2025
DZ2024249;Ana Diego;Díaz Flores;Enfermería;Ciencias de la Salud;17;Masculino;3.06;80.27;Mixta;Parcial;0;Bajo;Voluntariado;Media;Regular;18;No;No Aplica;Medio Riesgo;0.490700746
LZ2024250;Carlos Laura;Hernández Hernández;Derecho;Ciencias Jurídicas;23;Otro;2.07;53.02;Presencial;Completa;30;Alto;Deporte;Baja;Regular;15;No;No Aplica;Medio Riesgo;0.556594041
LZ2024251;Sofía Luis;Hernández Gómez;Arquitectura;Artes y Diseño;30;Otro;4.54;86.73;Presencial;Ninguna;40;Medio;Deporte;Baja;Bueno;21;No;No Aplica;Medio Riesgo;0.459131533
LZ2024252;Laura Lucía;Gómez Hernández;Ingeniería de Sistemas;Ingeniería;19;Masculino;4.36;98.66;Virtual;Parcial;0;Bajo;Ninguna;Baja;Bueno;12;No;No Aplica;Medio Riesgo;0.447166281
CZ2024253;Lucía Carlos;Díaz Rodríguez;Ingeniería de Sistemas;Ingeniería;27;Otro;4.43;83.54;Virtual;Completa;20;Medio;Arte;Baja;Malo;18;No;No Aplica;Medio Riesgo;0.424508254
LZ2024254;Laura Lucía;Rodríguez Gómez;Derecho;Ciencias Jurídicas;17;Femenino;3.13;50.36;Virtual;Parcial;0;Medio;Arte;Alta;Malo;21;Sí;Problemas Familiares;Medio Riesgo;0.568475314
LZ2024255;Luis Luis;Martínez Rodríguez;Enfermería;Ciencias de la Salud;17;Otro;2.36;99.64;Mixta;Ninguna;30;Medio;Deporte;Baja;Bueno;18;No;No Aplica;Medio Riesgo;0.535482535
JZ2024256;Juan Jorge;Martínez Hernández;Biología;Ciencias de la Salud;22;Masculino;3.15;65.55;Mixta;Ninguna;40;Medio;Voluntariado;Baja;Bueno;12;No;No Aplica;Medio Riesgo;0.596717619
VZ2024257;Jorge Valeria;Hernández Gómez;Ingeniería de Sistemas;Ingeniería;29;Femenino;2.91;96.69;Presencial;Ninguna;0;Medio;Arte;Baja;Regular;21;Sí;Problemas Familiares;Bajo Riesgo;0.376977014
CZ2024258;Juan Carlos;Díaz Torres;Derecho;Ciencias Jurídicas;22;Femenino;2.42;73.07;Presencial;Parcial;30;Bajo;Arte;Media;Bueno;15;Sí;Carga Académica;Medio Riesgo;0.599147448
LZ2024259;Laura Laura;Martínez Hernández;Arquitectura;Artes y Diseño;19;Masculino;2.88;50.77;Mixta;Beca académica;40;Medio;Arte;Media;Bueno;15;No;No Aplica;Medio Riesgo;0.67174064
JS2024260;María Juan;Torres Gómez;Diseño Gráfico;Artes y Diseño;27;Masculino;4.42;99.57;Mixta;Ninguna;20;Bajo;Ninguna;Alta;Bueno;21;No;No Aplica;Medio Riesgo;0.416444383
LZ2024261;Sofía Lucía;Díaz Flores;Contabilidad;Ciencias Económicas;22;Femenino;2.43;64.99;Presencial;Ninguna;40;Alto;Deporte;Baja;Bueno;18;No;No Aplica;Medio Riesgo;0.60565919
AZ2024262;Diego Ana;González Torres;Administración de Empresas;Ciencias Económicas;24;Masculino;4.19;90.03;Mixta;Beca académica;10;Bajo;Voluntariado;Media;Regular;18;No;No Aplica;Medio Riesgo;0.408953935
JZ2024263;Juan Jorge;Rodríguez Flores;Comunicación Social;Humanidades;18;Masculino;4.75;91.22;Virtual;Ninguna;0;Alto;Ninguna;Media;Malo;15;No;No Aplica;Medio Riesgo;0.43575857
LZ2024264;Carlos Lucía;Gómez Gómez;Contabilidad;Ciencias Económicas;23;Otro;2.75;58.88;Presencial;Ninguna;30;Alto;Ninguna;Alta;Regular;12;No;No Aplica;Medio Riesgo;0.502802203
LZ2024265;Luis Lucía;Rodríguez Hernández;Diseño Gráfico;Artes y Diseño;25;Femenino;2.76;97.44;Presencial;Parcial;0;Bajo;Club Académico;Media;Malo;12;No;No Aplica;Medio Riesgo;0.452541315
LS2024266;Jorge Lucía;Flores Díaz;Arquitectura;Artes y Diseño;23;Masculino;2.1;82.7;Presencial;Parcial;30;Alto;Voluntariado;Media;Bueno;12;No;No Aplica;Medio Riesgo;0.574422855
JS2024267;Pedro Jorge;Flores Díaz;Economía;Ciencias Económicas;17;Femenino;2.71;89.13;Presencial;Parcial;0;Alto;Arte;Baja;Bueno;12;Sí;Carga Académica;Medio Riesgo;0.5328202
AZ2024268;Juan Ana;Díaz Ramírez;Diseño Gráfico;Artes y Diseño;29;Masculino;2.76;54.59;Virtual;Ninguna;0;Medio;Ninguna;Alta;Regular;21;Sí;Problemas Económicos;Medio Riesgo;0.475031019
CZ2024269;Lucía Carlos;Hernández Gómez;Derecho;Ciencias Jurídicas;18;Masculino;3.61;87.48;Presencial;Ninguna;40;Bajo;Club Académico;Media;Malo;15;No;No Aplica;Medio Riesgo;0.50303878
MS2024270;Ana María;Flores Pérez;Ingeniería Civil;Ingeniería;20;Otro;2.42;97.45;Mixta;Ninguna;0;Bajo;Ninguna;Alta;Regular;12;No;No Aplica;Medio Riesgo;0.409442689
AZ2024271;Jorge Ana;Martínez Pérez;Biología;Ciencias de la Salud;28;Otro;2.09;98.65;Mixta;Ninguna;20;Alto;Club Académico;Baja;Malo;15;Sí;Trabajo;Medio Riesgo;0.450309595
VZ2024272;Lucía Valeria;Díaz Díaz;Economía;Ciencias Económicas;19;Masculino;4.25;86.5;Virtual;Ninguna;10;Medio;Voluntariado;Alta;Malo;15;No;No Aplica;Medio Riesgo;0.429842794
LZ2024273;Diego Luis;Díaz Flores;Administración de Empresas;Ciencias Económicas;21;Femenino;2.45;58.04;Virtual;Parcial;30;Alto;Club Académico;Media;Bueno;21;No;No Aplica;Medio Riesgo;0.634486183
VZ2024274;María Valeria;González Torres;Ingeniería Civil;Ingeniería;30;Otro;2.68;54.42;Virtual;Ninguna;20;Bajo;Voluntariado;Alta;Regular;12;No;No Aplica;Medio Riesgo;0.479887176
JZ2024275;María Jorge;Ramírez Martínez;Medicina;Ciencias de la Salud;21;Femenino;3.86;88.97;Virtual;Parcial;10;Medio;Ninguna;Media;Bueno;21;No;No Aplica;Medio Riesgo;0.505425672
PZ2024276;Luis Pedro;González Martínez;Contabilidad;Ciencias Económicas;17;Femenino;2.8;97.98;Presencial;Parcial;0;Bajo;Arte;Baja;Bueno;15;No;No Aplica;Medio Riesgo;0.506583975
AZ2024277;María Ana;Díaz Torres;Comunicación Social;Humanidades;30;Femenino;3.85;66.34;Mixta;Ninguna;0;Bajo;Arte;Alta;Bueno;12;Sí;Trabajo;Medio Riesgo;0.507803884
LZ2024278;Ana Laura;Rodríguez Flores;Enfermería;Ciencias de la Salud;24;Femenino;3.48;69.68;Mixta;Parcial;20;Medio;Voluntariado;Alta;Bueno;18;No;No Aplica;Medio Riesgo;0.542074965
CZ2024279;Diego Carlos;Hernández Ramírez;Diseño Gráfico;Artes y Diseño;29;Otro;4.14;89.14;Mixta;Beca académica;30;Alto;Club Académico;Alta;Bueno;18;No;No Aplica;Medio Riesgo;0.447943452
LZ2024280;Carlos Luis;Hernández Gómez;Medicina;Ciencias de la Salud;20;Otro;4.81;55.79;Virtual;Ninguna;10;Bajo;Deporte;Baja;Regular;21;Sí;Trabajo;Medio Riesgo;0.473215167
AS2024281;Juan Ana;Torres Pérez;Medicina;Ciencias de la Salud;27;Otro;3.44;94.77;Virtual;Beca deportiva;30;Alto;Club Académico;Media;Bueno;21;No;No Aplica;Medio Riesgo;0.480026487
LZ2024282;Lucía Luis;Hernández Rodríguez;Ingeniería de Sistemas;Ingeniería;20;Femenino;4.97;90.82;Mixta;Ninguna;20;Medio;Deporte;Media;Bueno;18;No;No Aplica;Medio Riesgo;0.493703744
CZ2024283;Jorge Carlos;Gómez Hernández;Ingeniería de Sistemas;Ingeniería;25;Masculino;2.81;65.64;Virtual;Ninguna;20;Medio;Ninguna;Media;Regular;12;No;No Aplica;Medio Riesgo;0.502899381
VS2024284;Sofía Valeria;Flores Hernández;Medicina;Ciencias de la Salud;28;Femenino;4.45;65.64;Virtual;Ninguna;0;Alto;Club Académico;Baja;Regular;15;No;No Aplica;Medio Riesgo;0.416801183
AZ2024285;Valeria Ana;Gómez Hernández;Arquitectura;Artes y Diseño;29;Otro;2.05;54.68;Virtual;Ninguna;0;Bajo;Arte;Alta;Regular;15;No;No Aplica;Medio Riesgo;0.491851054
VZ2024286;Ana Valeria;Ramírez Torres;Ingeniería Civil;Ingeniería;23;Masculino;3.23;76.87;Presencial;Ninguna;20;Medio;Arte;Baja;Regular;15;Sí;Trabajo;Medio Riesgo;0.455991358
VZ2024287;Juan Valeria;Rodríguez González;Biología;Ciencias de la Salud;25;Femenino;4.97;98.06;Presencial;Ninguna;0;Bajo;Voluntariado;Alta;Regular;18;No;No Aplica;Bajo Riesgo;0.319005522
SZ2024288;Luis Sofía;Hernández Gómez;Enfermería;Ciencias de la Salud;20;Masculino;4.27;98.66;Mixta;Parcial;30;Alto;Arte;Baja;Regular;12;No;No Aplica;Bajo Riesgo;0.386180051
JZ2024289;Jorge Juan;Martínez Torres;Economía;Ciencias Económicas;18;Masculino;3.99;91.02;Mixta;Beca deportiva;10;Bajo;Arte;Alta;Regular;12;No;No Aplica;Bajo Riesgo;0.398543759
LZ2024290;María Laura;González Díaz;Psicología;Humanidades;23;Masculino;4.64;51.53;Virtual;Ninguna;10;Bajo;Ninguna;Alta;Bueno;18;No;No Aplica;Medio Riesgo;0.546378467
JZ2024291;Juan Jorge;Rodríguez Hernández;Biología;Ciencias de la Salud;17;Otro;4.67;55.38;Virtual;Ninguna;10;Medio;Arte;Alta;Regular;18;Sí;Problemas Familiares;Medio Riesgo;0.473504225
LZ2024292;Juan Luis;Gómez Díaz;Enfermería;Ciencias de la Salud;29;Femenino;2.62;99.32;Virtual;Completa;40;Alto;Arte;Media;Bueno;18;No;No Aplica;Medio Riesgo;0.484869252
CZ2024293;Carlos Carlos;Martínez Díaz;Biología;Ciencias de la Salud;22;Femenino;4.99;62.41;Presencial;Parcial;10;Medio;Deporte;Media;Malo;15;No;No Aplica;Medio Riesgo;0.512832922
DZ2024294;Diego Diego;Rodríguez Flores;Biología;Ciencias de la Salud;24;Otro;2.41;64.02;Virtual;Ninguna;30;Alto;Voluntariado;Media;Regular;18;No;No Aplica;Medio Riesgo;0.522508273
VS2024295;Carlos Valeria;Torres Flores;Enfermería;Ciencias de la Salud;28;Femenino;4.24;68.27;Mixta;Completa;0;Alto;Ninguna;Media;Regular;12;No;No Aplica;Medio Riesgo;0.448230269
JS2024296;Jorge Juan;Torres Martínez;Ingeniería de Sistemas;Ingeniería;23;Otro;4.36;51.86;Mixta;Completa;40;Medio;Deporte;Baja;Malo;18;No;No Aplica;Medio Riesgo;0.557667797
PZ2024297;Lucía Pedro;Hernández Rodríguez;Biología;Ciencias de la Salud;18;Femenino;4.82;73.54;Presencial;Ninguna;10;Medio;Deporte;Baja;Bueno;15;No;No Aplica;Medio Riesgo;0.525717497
AZ2024298;Pedro Ana;Hernández Martínez;Enfermería;Ciencias de la Salud;24;Femenino;4.32;82.03;Presencial;Ninguna;30;Medio;Deporte;Baja;Bueno;12;No;No Aplica;Medio Riesgo;0.498581048
SZ2024299;Diego Sofía;Gómez Ramírez;Derecho;Ciencias Jurídicas;17;Femenino;3.3;94.14;Mixta;Parcial;40;Medio;Deporte;Media;Bueno;21;No;No Aplica;Medio Riesgo;0.548931933
AZ2024300;Juan Ana;Hernández Hernández;Ingeniería de Sistemas;Ingeniería;28;Femenino;2.05;68.52;Presencial;Parcial;30;Bajo;Club Académico;Media;Regular;15;Sí;Problemas Familiares;Medio Riesgo;0.512736184
PZ2024301;Valeria Pedro;Díaz Hernández;Arquitectura;Artes y Diseño;20;Otro;3.26;97.51;Presencial;Ninguna;0;Alto;Deporte;Alta;Malo;12;No;No Aplica;Medio Riesgo;0.420171492
MZ2024302;Luis María;Hernández Flores;Ingeniería de Sistemas;Ingeniería;22;Masculino;4.05;63.41;Mixta;Ninguna;40;Bajo;Ninguna;Media;Bueno;21;No;No Aplica;Medio Riesgo;0.595497831
LS2024303;Sofía Laura;Torres Gómez;Enfermería;Ciencias de la Salud;30;Otro;4.9;67.58;Virtual;Ninguna;40;Alto;Club Académico;Baja;Regular;12;No;No Aplica;Medio Riesgo;0.407726694
VZ2024304;Valeria Valeria;Rodríguez Pérez;Contabilidad;Ciencias Económicas;30;Masculino;4.24;51.75;Presencial;Parcial;30;Medio;Ninguna;Alta;Regular;21;Sí;Carga Académica;Medio Riesgo;0.459619166
SZ2024305;María Sofía;González Hernández;Comunicación Social;Humanidades;29;Masculino;2.92;96.97;Mixta;Ninguna;30;Medio;Club Académico;Baja;Malo;21;No;No Aplica;Medio Riesgo;0.437133748
JZ2024306;Jorge Juan;Hernández Ramírez;Economía;Ciencias Económicas;17;Femenino;3.17;94.9;Presencial;Ninguna;0;Bajo;Deporte;Media;Regular;15;No;No Aplica;Medio Riesgo;0.437644459
VZ2024307;Diego Valeria;Ramírez Torres;Medicina;Ciencias de la Salud;24;Masculino;3.5;85.29;Virtual;Ninguna;10;Bajo;Arte;Alta;Malo;15;No;No Aplica;Medio Riesgo;0.431518191
VZ2024308;Pedro Valeria;Hernández Flores;Psicología;Humanidades;21;Masculino;3.76;55.44;Mixta;Ninguna;40;Bajo;Club Académico;Baja;Malo;15;No;No Aplica;Medio Riesgo;0.569173255
JZ2024309;Jorge Jorge;Pérez Gómez;Ingeniería Civil;Ingeniería;17;Otro;2.06;54.23;Presencial;Beca académica;40;Bajo;Club Académico;Alta;Malo;12;No;No Aplica;Medio Riesgo;0.606816107
MZ2024310;Pedro María;Martínez Hernández;Arquitectura;Artes y Diseño;17;Femenino;4.63;61.76;Mixta;Parcial;20;Medio;Club Académico;Alta;Malo;21;No;No Aplica;Medio Riesgo;0.518907979
AZ2024311;Lucía Ana;Díaz Díaz;Derecho;Ciencias Jurídicas;30;Otro;2.26;56.02;Mixta;Ninguna;20;Medio;Voluntariado;Baja;Malo;18;No;No Aplica;Medio Riesgo;0.565631267
AS2024312;Jorge Ana;Flores Torres;Derecho;Ciencias Jurídicas;22;Femenino;4.39;83.77;Mixta;Ninguna;40;Bajo;Ninguna;Media;Malo;18;No;No Aplica;Medio Riesgo;0.484617911
JS2024313;Sofía Juan;Flores Díaz;Enfermería;Ciencias de la Salud;21;Masculino;2.3;73.13;Virtual;Parcial;20;Alto;Club Académico;Baja;Bueno;21;No;No Aplica;Medio Riesgo;0.574537548
LZ2024314;Sofía Laura;Hernández Díaz;Biología;Ciencias de la Salud;25;Femenino;4.07;50.35;Presencial;Parcial;10;Alto;Arte;Media;Bueno;21;No;No Aplica;Medio Riesgo;0.598977042
JZ2024315;María Jorge;Rodríguez Díaz;Contabilidad;Ciencias Económicas;24;Otro;4.12;79.1;Mixta;Ninguna;30;Bajo;Club Académico;Alta;Bueno;18;No;No Aplica;Medio Riesgo;0.499589568
LZ2024316;Ana Luis;Pérez Torres;Medicina;Ciencias de la Salud;27;Otro;3.21;94.3;Presencial;Ninguna;20;Bajo;Arte;Media;Malo;18;No;No Aplica;Medio Riesgo;0.449839811
SS2024317;María Sofía;Flores González;Comunicación Social;Humanidades;29;Otro;2.67;51.79;Mixta;Beca académica;10;Alto;Arte;Baja;Bueno;15;Sí;Falta de Motivación;Medio Riesgo;0.605179973
JS2024318;Laura Juan;Torres Ramírez;Comunicación Social;Humanidades;23;Femenino;3.13;74.45;Virtual;Parcial;0;Medio;Deporte;Media;Bueno;18;No;No Aplica;Medio Riesgo;0.555117929
LZ2024319;María Laura;Pérez Torres;Economía;Ciencias Económicas;21;Masculino;3.23;65.91;Presencial;Completa;20;Medio;Ninguna;Baja;Malo;12;No;No Aplica;Medio Riesgo;0.53928369
MZ2024320;Valeria María;Pérez Rodríguez;Arquitectura;Artes y Diseño;21;Otro;2.22;65.11;Virtual;Parcial;0;Alto;Ninguna;Media;Regular;15;No;No Aplica;Medio Riesgo;0.524132441
VZ2024321;Diego Valeria;Hernández Torres;Contabilidad;Ciencias Económicas;21;Masculino;4.66;83.68;Mixta;Parcial;20;Bajo;Deporte;Media;Bueno;18;No;No Aplica;Medio Riesgo;0.5168986
VZ2024322;Lucía Valeria;González Torres;Derecho;Ciencias Jurídicas;21;Otro;2.6;74.13;Virtual;Parcial;10;Alto;Ninguna;Baja;Regular;12;No;No Aplica;Medio Riesgo;0.473076011
MZ2024323;Lucía María;Martínez Torres;Diseño Gráfico;Artes y Diseño;22;Masculino;3.24;53.96;Presencial;Ninguna;20;Medio;Ninguna;Media;Regular;18;No;No Aplica;Medio Riesgo;0.545034041
PZ2024324;Valeria Pedro;Hernández Díaz;Ingeniería de Sistemas;Ingeniería;20;Masculino;3.35;61.66;Presencial;Parcial;0;Bajo;Voluntariado;Media;Malo;12;No;No Aplica;Medio Riesgo;0.56072269
JS2024325;Ana Jorge;Flores Rodríguez;Economía;Ciencias Económicas;26;Femenino;4.42;75.04;Virtual;Ninguna;40;Alto;Voluntariado;Baja;Malo;12;Sí;Trabajo;Medio Riesgo;0.45736247
LZ2024326;Juan Lucía;Díaz Pérez;Arquitectura;Artes y Diseño;28;Femenino;2.87;68.09;Presencial;Ninguna;10;Bajo;Club Académico;Media;Regular;21;No;No Aplica;Medio Riesgo;0.483765062
LZ2024327;Pedro Laura;Rodríguez González;Ingeniería Civil;Ingeniería;26;Otro;4.36;55.03;Presencial;Ninguna;40;Alto;Deporte;Alta;Bueno;15;No;No Aplica;Medio Riesgo;0.549675367
DZ2024328;Laura Diego;González Pérez;Administración de Empresas;Ciencias Económicas;24;Masculino;3.88;85.93;Presencial;Ninguna;20;Alto;Voluntariado;Alta;Bueno;12;No;No Aplica;Medio Riesgo;0.472341595
VZ2024329;María Valeria;Rodríguez Pérez;Ingeniería Civil;Ingeniería;18;Otro;3.4;80.37;Mixta;Beca deportiva;20;Alto;Voluntariado;Baja;Regular;15;No;No Aplica;Medio Riesgo;0.464898562
MZ2024330;Lucía María;Rodríguez Ramírez;Diseño Gráfico;Artes y Diseño;22;Femenino;4.88;87.99;Mixta;Beca académica;20;Medio;Deporte;Alta;Regular;18;No;No Aplica;Bajo Riesgo;0.374837354
LZ2024331;Luis Lucía;Hernández Gómez;Derecho;Ciencias Jurídicas;29;Femenino;2.46;70.73;Virtual;Ninguna;10;Alto;Deporte;Baja;Malo;18;Sí;Problemas de Salud;Medio Riesgo;0.498218756
JZ2024332;María Jorge;Díaz Ramírez;Biología;Ciencias de la Salud;26;Masculino;4.19;83.47;Mixta;Parcial;40;Bajo;Arte;Alta;Regular;12;No;No Aplica;Bajo Riesgo;0.395636462
SZ2024333;Sofía Sofía;Martínez Torres;Economía;Ciencias Económicas;17;Femenino;3.97;68.08;Presencial;Ninguna;30;Bajo;Voluntariado;Media;Malo;18;No;No Aplica;Medio Riesgo;0.54974905
LZ2024334;Luis Laura;Díaz Gómez;Diseño Gráfico;Artes y Diseño;18;Masculino;3.57;59.11;Presencial;Parcial;40;Bajo;Arte;Media;Bueno;12;No;No Aplica;Medio Riesgo;0.627557439
JS2024335;Luis Jorge;Torres Pérez;Medicina;Ciencias de la Salud;24;Femenino;3.86;96.9;Virtual;Completa;10;Medio;Deporte;Baja;Bueno;12;No;No Aplica;Medio Riesgo;0.451769318
AZ2024336;Carlos Ana;Díaz Pérez;Administración de Empresas;Ciencias Económicas;28;Otro;3.07;95.81;Presencial;Parcial;40;Bajo;Deporte;Media;Regular;12;Sí;Carga Académica;Medio Riesgo;0.410706297
DZ2024337;Juan Diego;Rodríguez Díaz;Biología;Ciencias de la Salud;19;Femenino;2.55;51.91;Virtual;Parcial;40;Bajo;Arte;Media;Bueno;18;No;No Aplica;Medio Riesgo;0.661206096
VS2024338;Laura Valeria;Flores Ramírez;Enfermería;Ciencias de la Salud;28;Otro;2.46;61.38;Virtual;Ninguna;20;Medio;Arte;Baja;Regular;15;No;No Aplica;Medio Riesgo;0.494093954
LS2024339;Diego Luis;Torres Martínez;Arquitectura;Artes y Diseño;19;Masculino;4.06;52.27;Virtual;Parcial;30;Bajo;Deporte;Baja;Regular;21;Sí;Problemas Económicos;Medio Riesgo;0.51581732
JZ2024340;Ana Juan;Gómez Rodríguez;Economía;Ciencias Económicas;17;Masculino;2.42;50.32;Presencial;Parcial;30;Alto;Arte;Baja;Bueno;12;No;No Aplica;Medio Riesgo;0.660414002
PZ2024341;Ana Pedro;Ramírez Martínez;Derecho;Ciencias Jurídicas;17;Femenino;4.8;50.06;Virtual;Ninguna;30;Bajo;Club Académico;Baja;Regular;21;No;No Aplica;Medio Riesgo;0.510388498
LZ2024342;Lucía Lucía;Gómez Gómez;Ingeniería Civil;Ingeniería;23;Masculino;4.77;59.53;Virtual;Ninguna;40;Bajo;Club Académico;Alta;Regular;15;No;No Aplica;Medio Riesgo;0.445210631
JZ2024343;Sofía Jorge;Díaz Gómez;Ingeniería de Sistemas;Ingeniería;20;Otro;2.64;64.45;Mixta;Ninguna;10;Alto;Voluntariado;Media;Regular;21;No;No Aplica;Medio Riesgo;0.5382266
JZ2024344;Pedro Jorge;González Díaz;Ingeniería Civil;Ingeniería;27;Femenino;3.49;73.62;Presencial;Ninguna;0;Medio;Arte;Baja;Bueno;21;No;No Aplica;Medio Riesgo;0.521132629
JZ2024345;María Jorge;Rodríguez Torres;Administración de Empresas;Ciencias Económicas;19;Femenino;3.29;84.85;Virtual;Ninguna;0;Bajo;Club Académico;Media;Bueno;15;No;No Aplica;Medio Riesgo;0.534643375
AZ2024346;Ana Ana;González Hernández;Ingeniería de Sistemas;Ingeniería;23;Femenino;2.55;80.71;Virtual;Parcial;30;Alto;Deporte;Media;Regular;15;No;No Aplica;Medio Riesgo;0.474049607
MZ2024347;María María;Gómez Gómez;Contabilidad;Ciencias Económicas;23;Otro;4.46;85.07;Presencial;Parcial;30;Bajo;Club Académico;Alta;Malo;12;No;No Aplica;Medio Riesgo;0.426371355
JZ2024348;Jorge Jorge;Gómez Pérez;Biología;Ciencias de la Salud;28;Otro;3.97;96.31;Mixta;Completa;0;Bajo;Voluntariado;Alta;Regular;12;No;No Aplica;Bajo Riesgo;0.343531924
VS2024349;Lucía Valeria;Torres Flores;Economía;Ciencias Económicas;25;Femenino;3.39;51.64;Mixta;Parcial;0;Bajo;Deporte;Baja;Bueno;15;No;No Aplica;Medio Riesgo;0.600362106
DZ2024350;Carlos Diego;Rodríguez Torres;Economía;Ciencias Económicas;21;Femenino;4.11;83.96;Presencial;Parcial;10;Medio;Voluntariado;Media;Malo;12;No;No Aplica;Medio Riesgo;0.477574063
JZ2024351;Carlos Jorge;Martínez Gómez;Derecho;Ciencias Jurídicas;21;Masculino;3.46;78.37;Mixta;Ninguna;20;Medio;Ninguna;Baja;Bueno;15;No;No Aplica;Medio Riesgo;0.547841395
JZ2024352;Juan Juan;Díaz Martínez;Contabilidad;Ciencias Económicas;18;Masculino;2.25;88.84;Presencial;Ninguna;30;Alto;Arte;Media;Regular;21;Sí;Falta de Motivación;Medio Riesgo;0.48606043
LZ2024353;Ana Luis;González Pérez;Biología;Ciencias de la Salud;17;Masculino;2.41;70.13;Presencial;Ninguna;20;Alto;Club Académico;Baja;Malo;15;No;No Aplica;Medio Riesgo;0.560823055
DZ2024354;Pedro Diego;Martínez Ramírez;Contabilidad;Ciencias Económicas;30;Femenino;4.55;54.87;Presencial;Ninguna;30;Medio;Club Académico;Baja;Bueno;12;No;No Aplica;Medio Riesgo;0.547560409
JZ2024355;María Juan;Ramírez Hernández;Biología;Ciencias de la Salud;17;Femenino;4.75;90.78;Virtual;Ninguna;20;Medio;Deporte;Media;Bueno;15;No;No Aplica;Medio Riesgo;0.496323908
JZ2024356;María Juan;Martínez Flores;Comunicación Social;Humanidades;19;Masculino;4.59;88.02;Virtual;Ninguna;30;Bajo;Club Académico;Alta;Bueno;15;No;No Aplica;Medio Riesgo;0.465558943
CS2024357;Juan Carlos;Torres Pérez;Biología;Ciencias de la Salud;29;Masculino;4.6;67.58;Mixta;Ninguna;20;Bajo;Ninguna;Alta;Bueno;18;No;No Aplica;Medio Riesgo;0.496226752
JZ2024358;Diego Jorge;Ramírez Díaz;Derecho;Ciencias Jurídicas;21;Femenino;2.47;98.61;Virtual;Ninguna;20;Bajo;Arte;Baja;Malo;18;Sí;Problemas de Salud;Medio Riesgo;0.454745236
MS2024359;Juan María;Torres González;Derecho;Ciencias Jurídicas;27;Femenino;4.98;80.11;Virtual;Completa;0;Medio;Deporte;Baja;Malo;15;No;No Aplica;Medio Riesgo;0.411892581
MZ2024360;Jorge María;Martínez Flores;Economía;Ciencias Económicas;27;Masculino;4.29;74.3;Mixta;Parcial;20;Medio;Ninguna;Media;Malo;21;No;No Aplica;Medio Riesgo;0.488731942
VZ2024361;Ana Valeria;Rodríguez Martínez;Ingeniería de Sistemas;Ingeniería;27;Masculino;2.32;94.13;Mixta;Ninguna;0;Medio;Arte;Baja;Malo;12;No;No Aplica;Medio Riesgo;0.45702694
SZ2024362;Lucía Sofía;Pérez González;Derecho;Ciencias Jurídicas;19;Femenino;4.25;66.5;Presencial;Completa;0;Alto;Arte;Alta;Regular;21;No;No Aplica;Medio Riesgo;0.44417866
LZ2024363;Laura Lucía;Hernández Flores;Medicina;Ciencias de la Salud;19;Femenino;4.5;60.88;Presencial;Ninguna;10;Alto;Deporte;Media;Malo;15;No;No Aplica;Medio Riesgo;0.538441751
LS2024364;Sofía Lucía;Flores Rodríguez;Comunicación Social;Humanidades;24;Otro;4.1;98.44;Mixta;Ninguna;0;Alto;Club Académico;Alta;Regular;18;No;No Aplica;Bajo Riesgo;0.347431232
MZ2024365;Sofía María;Martínez Pérez;Psicología;Humanidades;18;Otro;3.06;76.67;Mixta;Completa;20;Medio;Voluntariado;Alta;Regular;15;No;No Aplica;Medio Riesgo;0.470124202
JZ2024366;Jorge Jorge;Pérez Díaz;Economía;Ciencias Económicas;26;Femenino;4.35;87.13;Mixta;Parcial;0;Bajo;Deporte;Media;Malo;15;Sí;Problemas de Salud;Medio Riesgo;0.443717517
JZ2024367;Valeria Juan;Rodríguez Pérez;Comunicación Social;Humanidades;18;Otro;2.72;79.18;Mixta;Ninguna;30;Medio;Voluntariado;Media;Bueno;21;No;No Aplica;Medio Riesgo;0.598937733
PS2024368;Ana Pedro;Torres Hernández;Comunicación Social;Humanidades;18;Masculino;2.24;51.65;Mixta;Ninguna;40;Medio;Club Académico;Baja;Bueno;18;Sí;Carga Académica;Medio Riesgo;0.671724026
JZ2024369;Valeria Juan;Ramírez Hernández;Economía;Ciencias Económicas;22;Femenino;3.26;91.49;Presencial;Ninguna;40;Alto;Voluntariado;Media;Malo;18;No;No Aplica;Medio Riesgo;0.482762125
DZ2024370;Diego Diego;Hernández Díaz;Arquitectura;Artes y Diseño;27;Femenino;4.99;66.7;Presencial;Beca deportiva;20;Bajo;Ninguna;Baja;Regular;12;No;No Aplica;Medio Riesgo;0.420963174
LZ2024371;Valeria Luis;Ramírez Torres;Psicología;Humanidades;28;Femenino;2.8;85.02;Virtual;Ninguna;10;Medio;Deporte;Alta;Bueno;15;No;No Aplica;Medio Riesgo;0.480154483
JZ2024372;Ana Juan;Rodríguez Díaz;Diseño Gráfico;Artes y Diseño;26;Femenino;2.13;64.73;Presencial;Ninguna;0;Alto;Arte;Baja;Malo;21;No;No Aplica;Medio Riesgo;0.540128873
CZ2024373;María Carlos;Hernández Hernández;Biología;Ciencias de la Salud;17;Masculino;4.53;55.05;Presencial;Ninguna;40;Alto;Voluntariado;Alta;Malo;18;No;No Aplica;Medio Riesgo;0.537663563
